id,text
1,Apple
2,りんご
3,सेब
4,Fresh apple
5,Red apple fruit
6,Banana
7,バナナ
8,केला
9,Yellow banana
10,Ripe banana fruit
11,Orange
12,オレンジ
13,संतरा
14,Citrus orange fruit
15,Juicy orange
16,Grapes
17,ぶどう
18,अंगूर
19,Green grapes
20,Sweet grapes
21,Milk
22,牛乳
23,दूध
24,Fresh milk
25,Organic milk
26,Bread
27,パン
28,रोटी
29,Whole wheat bread
30,Bakery bread
31,Rice
32,米
33,चावल
34,White rice
35,Basmati rice
36,Sugar
37,砂糖
38,चीनी
39,White sugar
40,Brown sugar
41,Tea
42,お茶
43,चाय
44,Green tea
45,Black tea
46,Coffee
47,コーヒー
48,कॉफी
49,Hot coffee
50,Cold coffee
